City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
125,Hobyo,SO,2022-07-21 15:16:59,5.3505,48.5268,78.03,74,69,25.01
126,Upernavik,GL,2022-07-21 15:16:59,72.7868,-56.1549,45.99,86,100,8.1
127,Emba,KZ,2022-07-21 15:17:00,48.8264,58.1442,84.52,21,93,8.08
128,Son La,VN,2022-07-21 15:17:00,21.3167,103.9,70.45,98,98,2.77
129,Isiolo,KE,2022-07-21 15:17:01,0.3546,37.5822,77.99,39,65,18.52
130,Cleveland,US,2022-07-21 15:15:14,41.4995,-81.6954,83.35,67,0,16.11
131,Necochea,AR,2022-07-21 15:17:02,-38.5473,-58.7368,50.77,46,66,14.97
132,Avarua,CK,2022-07-21 15:17:02,-21.2078,-159.775,71.65,73,75,9.22
133,Provideniya,RU,2022-07-21 15:17:03,64.3833,-173.3,39.51,77,99,9.71
134,Bac Lieu,VN,2022-07-21 15:17:03,9.285,105.7244,77.47,90,91,6.51
135,Bethanien,NA,2022-07-21 15:17:04,-26.502,17.1583,73.15,18,0,9.22
136,Pitimbu,BR,2022-07-21 15:17:04,-7.4706,-34.8086,75.79,82,86,13.47
137,Georgetown,MY,2022-07-21 15:15:38,5.4112,100.3354,83.89,83,20,1.14
138,Sambava,MG,2022-07-21 15:17:05,-14.2667,50.1667,69.76,84,95,14.83
139,Belmonte,BR,2022-07-21 15:18:05,-15.8631,-38.8828,76.55,72,19,9.73
140,Lagoa,PT,2022-07-21 15:18:06,39.05,-27.9833,72.43,79,65,5.17
141,Diego De Almagro,CL,2022-07-21 15:18:06,-26.3667,-70.05,59.76,52,98,2.53
142,Shimsk,RU,2022-07-21 15:18:07,58.212,30.7127,78.48,52,41,8.41
143,Dikson,RU,2022-07-21 15:18:07,73.5069,80.5464,42.91,87,100,26.46
144,Xining,CN,2022-07-21 15:18:08,36.6167,101.7667,47.12,92,60,1.86
145,Makokou,GA,2022-07-21 15:18:08,0.5738,12.8642,79.59,69,93,1.97
146,Qaanaaq,GL,2022-07-21 15:18:09,77.484,-69.3632,45.86,70,100,5.91
147,Port Moresby,PG,2022-07-21 15:14:00,-9.4431,147.1797,76.19,90,99,5.37
148,Lesnica,RS,2022-07-21 15:18:10,44.6525,19.31,100.83,14,18,2.26
149,Krasnoborsk,RU,2022-07-21 15:18:10,61.5598,45.934,73.83,63,100,4.63
150,Sitka,US,2022-07-21 15:18:11,57.0531,-135.33,55.29,88,100,4.61
151,Kaitangata,NZ,2022-07-21 15:18:11,-46.2817,169.8464,43.45,88,100,5.57
152,Gazojak,TM,2022-07-21 15:18:12,41.1875,61.4036,107.11,10,0,10.51
153,Saint-Philippe,RE,2022-07-21 15:18:12,-21.3585,55.7679,69.39,82,45,15.97
154,Spruce Grove,CA,2022-07-21 15:18:13,53.5334,-113.9187,71.11,40,0,8.05
155,Beringovskiy,RU,2022-07-21 15:18:13,63.05,179.3167,46.24,69,100,12.44
156,Fujin,CN,2022-07-21 15:18:14,47.26,132.0322,62.67,97,34,7.29
157,Egvekinot,RU,2022-07-21 15:18:14,66.3167,-179.1667,31.69,76,13,9.15
158,Harper,LR,2022-07-21 15:18:15,4.375,-7.7169,78.06,65,66,8.32
